[['Term'], ['Beginning Balance', 'Rental', 'Interest', 'Pricipal', 'Ending Balance']]
[[1], [120000.0, 2786.95, 543.0, 2243.95, 117756.05]]
[[2], [117756.05, 2786.95, 532.85, 2254.1, 115501.95]]
[[3], [115501.95, 2786.95, 522.65, 2264.3, 113237.65]]
[[4], [113237.65, 2786.95, 512.4, 2274.55, 110963.1]]
[[5], [110963.1, 2786.95, 502.11, 2284.84, 108678.26]]
[[6], [108678.26, 2786.95, 491.77, 2295.18, 106383.08]]
[[7], [106383.08, 2786.95, 481.38, 2305.57, 104077.51]]
[[8], [104077.51, 2786.95, 470.95, 2316.0, 101761.51]]
[[9], [101761.51, 2786.95, 460.47, 2326.48, 99435.03]]
[[10], [99435.03, 2786.95, 449.94, 2337.01, 97098.02]]
[[11], [97098.02, 2786.95, 439.37, 2347.58, 94750.44]]
[[12], [94750.44, 2786.95, 428.75, 2358.2, 92392.24]]
[[13], [92392.24, 2786.95, 418.07, 2368.88, 90023.36]]
[[14], [90023.36, 2786.95, 407.36, 2379.59, 87643.77]]
[[15], [87643.77, 2786.95, 396.59, 2390.36, 85253.41]]
[[16], [85253.41, 2786.95, 385.77, 2401.18, 82852.23]]
[[17], [82852.23, 2786.95, 374.91, 2412.04, 80440.19]]
[[18], [80440.19, 2786.95, 363.99, 2422.96, 78017.23]]
[[19], [78017.23, 2786.95, 353.03, 2433.92, 75583.31]]
[[20], [75583.31, 2786.95, 342.01, 2444.94, 73138.37]]
[[21], [73138.37, 2786.95, 330.95, 2456.0, 70682.37]]
[[22], [70682.37, 2786.95, 319.84, 2467.11, 68215.26]]
[[23], [68215.26, 2786.95, 308.67, 2478.28, 65736.98]]
[[24], [65736.98, 2786.95, 297.46, 2489.49, 63247.49]]
[[25], [63247.49, 2786.95, 286.19, 2500.76, 60746.73]]
[[26], [60746.73, 2786.95, 274.88, 2512.07, 58234.66]]
[[27], [58234.66, 2786.95, 263.51, 2523.44, 55711.22]]
[[28], [55711.22, 2786.95, 252.09, 2534.86, 53176.36]]
[[29], [53176.36, 2786.95, 240.62, 2546.33, 50630.03]]
[[30], [50630.03, 2786.95, 229.1, 2557.85, 48072.18]]
[[31], [48072.18, 2786.95, 217.53, 2569.42, 45502.76]]
[[32], [45502.76, 2786.95, 205.9, 2581.05, 42921.71]]
[[33], [42921.71, 2786.95, 194.22, 2592.73, 40328.98]]
[[34], [40328.98, 2786.95, 182.49, 2604.46, 37724.52]]
[[35], [37724.52, 2786.95, 170.7, 2616.25, 35108.27]]
[[36], [35108.27, 2786.95, 158.86, 2628.09, 32480.18]]
[[37], [32480.18, 2786.95, 146.97, 2639.98, 29840.2]]
[[38], [29840.2, 2786.95, 135.03, 2651.92, 27188.28]]
[[39], [27188.28, 2786.95, 123.03, 2663.92, 24524.36]]
[[40], [24524.36, 2786.95, 110.97, 2675.98, 21848.38]]
[[41], [21848.38, 2786.95, 98.86, 2688.09, 19160.29]]
[[42], [19160.29, 2786.95, 86.7, 2700.25, 16460.04]]
[[43], [16460.04, 2786.95, 74.48, 2712.47, 13747.57]]
[[44], [13747.57, 2786.95, 62.21, 2724.74, 11022.83]]
[[45], [11022.83, 2786.95, 49.88, 2737.07, 8285.76]]
[[46], [8285.76, 2786.95, 37.49, 2749.46, 5536.3]]
[[47], [5536.3, 2786.95, 25.05, 2761.9, 2774.4]]
[[48], [2774.4, 2786.95, 12.55, 2774.4, 0.0]]
